name,position,price,match,mål,assist,matchavgorande_mål,mål_i_numerart_underlage,+_-,spelad_match_och_istid,skott_på_mål,tekningar,blockerade_skott,utvisningar,tacklingar,raddningar,inslappta_mål,hållna_nollor,vinster,overtidsvinster,overtidsforluster,agandeskap,stat_24,stat_25
Erik Norén,B,6.1 mkr,108,2.4,2.4,4,18,0,0,0,79,1,0,6,-8,8,0,0,0,0,0,,
Jakob Hellsten,MV,7.6 mkr,108,0,5.4,0,0,0,0,0,19,0,0,0,0,0,84,-51,12,18,6,,
Jon Knuts,C,6.2 mkr,107,1.4,2.1,12,15,0,0,-8,94,0,-11,4,-5,6,0,0,0,0,0,,
Jesper Pettersson,B,6.5 mkr,107,3.2,2.2,0,15,0,0,-6,99,1,0,6,-13,5,0,0,0,0,0,,
Johan Johnsson,C,5.7 mkr,104,5.2,2.2,12,21,0,0,-6,84,0,-4,2,-6,1,0,0,0,0,0,,
Jonathan Davidsson,FW,6.0 mkr,103,6.8,2.3,12,15,2,0,-10,67,1,0,3,-2,15,0,0,0,0,0,,
Marcus Gidlöf,MV,7.5 mkr,103,0.8,6.1,0,0,0,4,0,17,0,0,0,0,0,73,-41,4,27,2,,
Otto Koivula,FW,7.5 mkr,100,2.8,3.3,20,30,2,0,-6,61,0,-1,0,-7,1,0,0,0,0,0,,
Einar Emanuelsson,FW,6.1 mkr,100,2.2,2.3,20,12,2,0,-4,65,3,0,0,0,2,0,0,0,0,0,,
Christian Djoos,B,8.2 mkr,100,2.8,3.6,8,27,0,0,-4,61,0,0,9,-1,0,0,0,0,0,0,,
David Granberg,FW,5.8 mkr,99,1.6,2.4,24,12,2,0,-2,69,0,-6,0,-3,0,0,0,0,0,0,,
Henry Bowlby,FW,6.1 mkr,99,-0.2,2.3,16,9,4,0,-14,84,0,0,0,-11,11,0,0,0,0,0,,
Lucas Forsell,FW,5.8 mkr,98,0.2,2.2,16,15,0,0,-2,76,0,0,3,-13,3,0,0,0,0,0,,
Mattias Göransson,B,5.9 mkr,98,0.2,2.2,12,6,0,0,-10,79,1,0,7,-3,3,0,0,0,0,0,,
Marek Hrivík,C,8.1 mkr,98,1,3.6,8,36,0,0,-6,55,1,5,0,-3,2,0,0,0,0,0,,
Adam Åhman,MV,7.8 mkr,98,4,4.9,0,3,0,10,0,18,0,0,0,0,0,63,-40,4,18,2,,
Oskar Vuollet,FW,5.7 mkr,97,1.8,2.2,16,15,2,0,-6,64,2,0,1,0,3,0,0,0,0,0,,
Sebastian Ohlsson,FW,5.5 mkr,96,1.4,1.9,16,12,2,0,-28,88,1,0,7,-3,1,0,0,0,0,0,,
Ludvig Nilsson,FW,6.6 mkr,96,0.2,2.6,12,18,2,0,-10,71,1,0,1,-14,15,0,0,0,0,0,,
Oskar Stål-Lyrenäs,FW,6.8 mkr,95,4,2.4,16,15,4,0,-16,74,3,0,1,-2,0,0,0,0,0,0,,
Noah Steen,FW,5.6 mkr,95,0.6,1.9,16,3,0,0,-12,87,0,0,13,-16,4,0,0,0,0,0,,
Dominik Badinka,B,5.9 mkr,95,1.4,1.9,8,9,2,0,-10,85,0,0,3,-9,7,0,0,0,0,0,,
Pontus Näsén,B,6.2 mkr,94,1,2.1,4,33,0,0,-20,77,0,0,1,-1,0,0,0,0,0,0,,
Lukas Pilö,B,6.8 mkr,94,3.4,3.0,4,18,0,0,8,63,1,0,3,-5,2,0,0,0,0,0,,
Linus Sjödin,C,5.6 mkr,94,0,1.8,4,12,0,0,-12,96,0,-7,4,-6,3,0,0,0,0,0,,
Zeb Forsfjäll,C,6.4 mkr,93,3,2.4,4,21,2,0,-14,75,0,3,1,-3,4,0,0,0,0,0,,
Christian Heljanko,MV,8.3 mkr,93,0,4.4,0,0,0,4,0,20,0,0,0,0,0,87,-60,4,15,2,,
Noah Dower Nilsson,FW,5.9 mkr,92,4,2.6,16,18,0,0,-2,62,2,0,1,-5,0,0,0,0,0,0,,
Olle Strandell,B,6.4 mkr,92,-0.2,2.4,4,9,2,0,-4,75,1,0,8,-4,1,0,0,0,0,0,,
Linus Johansson,C,6.9 mkr,91,4.4,2.9,4,27,2,0,4,63,1,-8,2,-10,6,0,0,0,0,0,,
Keegan Lowe,B,6.9 mkr,91,3.6,2.5,4,18,0,0,-12,80,0,0,11,-15,5,0,0,0,0,0,,
Christoffer Rifalk,MV,8.5 mkr,91,0,5.1,0,0,0,4,0,18,0,0,0,0,0,75,-52,4,21,3,,
Kristian Näkyvä,B,6.5 mkr,89,2.2,2.5,0,18,0,0,-12,88,2,0,2,-9,0,0,0,0,0,0,,
Ludvig Jansson,B,5.8 mkr,88,1.8,1.8,4,9,0,0,-4,86,0,0,3,-10,0,0,0,0,0,0,,
Damian Clara,MV,7.8 mkr,88,0,4.2,0,0,0,4,0,16,0,0,0,0,0,69,-53,4,24,3,,
Marcus Sylvegård,FW,9.6 mkr,83,7,6.9,12,27,2,0,14,23,5,0,0,-2,2,0,0,0,0,0,,
Gustaf Lindvall,MV,7.9 mkr,83,3.6,5.5,0,0,0,2,0,14,0,0,0,0,0,54,-31,8,21,0,,
Mikael Seppälä,B,6.2 mkr,82,2.2,2,0,6,0,0,-20,80,0,0,11,-6,11,0,0,0,0,0,,
Robert Rosén,C,7.7 mkr,80,3.2,3.8,8,36,2,0,-8,42,0,2,0,-2,0,0,0,0,0,0,,
