GW,Vecka,Datum,Hemmalag,Bortalag
15,2,2024-01-11,Timrå IK,Skellefteå AIK
15,2,2024-01-11,Färjestad BK,Leksands IF
15,2,2024-01-11,Linköping HC,MoDo Hockey
16,3,2024-01-16,Leksands IF,Örebro Hockey
16,3,2024-01-16,HV71,Färjestad BK
16,3,2024-01-16,Rögle BK,Frölunda HC
16,3,2024-01-16,Luleå Hockey,Brynäs IF
16,3,2024-01-16,Skellefteå AIK,Växjö Lakers
16,3,2024-01-16,Timrå IK,Malmö Redhawks
16,3,2024-01-16,MoDo Hockey,Linköping HC
16,3,2024-01-18,Luleå Hockey,Växjö Lakers
16,3,2024-01-18,Skellefteå AIK,Brynäs IF
16,3,2024-01-18,Linköping HC,Timrå IK
16,3,2024-01-18,HV71,Rögle BK
16,3,2024-01-18,Leksands IF,Malmö Redhawks
16,3,2024-01-18,Örebro Hockey,MoDo Hockey
16,3,2024-01-18,Färjestad BK,Frölunda HC
17,4,2024-01-23,MoDo Hockey,Luleå Hockey
17,4,2024-01-23,Timrå IK,Frölunda HC
17,4,2024-01-23,Linköping HC,Färjestad BK
17,4,2024-01-23,Växjö Lakers,Leksands IF
17,4,2024-01-23,Brynäs IF,HV71
17,4,2024-01-23,Rögle BK,Skellefteå AIK
17,4,2024-01-23,Malmö Redhawks,Örebro Hockey
17,4,2024-01-25,Leksands IF,Linköping HC
17,4,2024-01-25,Färjestad BK,Brynäs IF
17,4,2024-01-25,Örebro Hockey,HV71
17,4,2024-01-25,MoDo Hockey,Frölunda HC
17,4,2024-01-25,Luleå Hockey,Timrå IK
17,4,2024-01-25,Rögle BK,Växjö Lakers
17,4,2024-01-25,Malmö Redhawks,Skellefteå AIK
18,5,2024-01-28,Skellefteå AIK,Leksands IF
18,5,2024-01-28,Timrå IK,Rögle BK
18,5,2024-01-28,Örebro Hockey,Brynäs IF
18,5,2024-01-28,Frölunda HC,Malmö Redhawks
18,5,2024-01-28,Linköping HC,Luleå Hockey
18,5,2024-01-28,HV71,MoDo Hockey
18,5,2024-01-28,Växjö Lakers,Färjestad BK
18,5,2024-01-30,MoDo Hockey,Växjö Lakers
18,5,2024-01-30,Färjestad BK,Timrå IK
18,5,2024-01-30,Leksands IF,HV71
18,5,2024-01-30,Linköping HC,Örebro Hockey
18,5,2024-01-30,Brynäs IF,Frölunda HC
18,5,2024-01-30,Rögle BK,Malmö Redhawks
18,5,2024-01-30,Skellefteå AIK,Luleå Hockey
18,5,2024-02-01,Timrå IK,Luleå Hockey
18,5,2024-02-01,Frölunda HC,Växjö Lakers
18,5,2024-02-01,Skellefteå AIK,Malmö Redhawks
18,5,2024-02-01,MoDo Hockey,Färjestad BK
18,5,2024-02-01,HV71,Leksands IF
18,5,2024-02-01,Brynäs IF,Örebro Hockey
18,5,2024-02-01,Rögle BK,Linköping HC
20,7,2024-02-11,Luleå Hockey,Linköping HC
19,7,2024-02-11,Timrå IK,HV71
19,7,2024-02-11,Leksands IF,Färjestad BK
19,7,2024-02-11,Frölunda HC,Skellefteå AIK
19,7,2024-02-11,Örebro Hockey,Rögle BK
19,7,2024-02-11,Växjö Lakers,MoDo Hockey
19,7,2024-02-11,Malmö Redhawks,Brynäs IF
19,7,2024-02-13,Skellefteå AIK,Örebro Hockey
19,7,2024-02-13,Färjestad BK,Växjö Lakers
19,7,2024-02-13,Linköping HC,Leksands IF
19,7,2024-02-13,Frölunda HC,MoDo Hockey
19,7,2024-02-13,Brynäs IF,Luleå Hockey
19,7,2024-02-13,HV71,Malmö Redhawks
19,7,2024-02-13,Rögle BK,Timrå IK
19,7,2024-02-15,Skellefteå AIK,HV71
19,7,2024-02-15,MoDo Hockey,Leksands IF
19,7,2024-02-15,Brynäs IF,Linköping HC
19,7,2024-02-15,Malmö Redhawks,Timrå IK
19,7,2024-02-15,Växjö Lakers,Luleå Hockey
19,7,2024-02-15,Rögle BK,Färjestad BK
19,7,2024-02-15,Örebro Hockey,Frölunda HC
20,8,2024-02-20,Luleå Hockey,Rögle BK
20,8,2024-02-20,Timrå IK,Brynäs IF
20,8,2024-02-20,Leksands IF,MoDo Hockey
20,8,2024-02-20,HV71,Frölunda HC
20,8,2024-02-20,Örebro Hockey,Linköping HC
20,8,2024-02-20,Växjö Lakers,Malmö Redhawks
20,8,2024-02-20,Färjestad BK,Skellefteå AIK
20,8,2024-02-22,MoDo Hockey,Brynäs IF
20,8,2024-02-22,Luleå Hockey,Malmö Redhawks
20,8,2024-02-22,Linköping HC,Frölunda HC
20,8,2024-02-22,Skellefteå AIK,Rögle BK
20,8,2024-02-22,Timrå IK,Leksands IF
20,8,2024-02-22,Färjestad BK,Örebro Hockey
20,8,2024-02-22,HV71,Växjö Lakers
21,9,2024-02-25,Luleå Hockey,Skellefteå AIK
21,9,2024-02-25,MoDo Hockey,Örebro Hockey
